voivo,county,district,school_type,min_ratio,max_ratio,avg_ratio
2,20,1,Liceum ogólnokształcące,7.75,7.75,7.75
2,20,1,Przedszkole,4.666666666666667,13.0,8.742375168690957
2,20,1,Szkoła podstawowa,7.03125,10.951219512195122,8.537931567278212
2,20,1,Technikum,6.25,6.25,6.25
2,20,2,Szkoła podstawowa,6.178571428571429,13.183673469387756,9.565192743764173
2,20,3,Gimnazjum,9.0,11.4,10.2
2,20,3,Liceum ogólnokształcące,9.6875,9.6875,9.6875
2,20,3,Przedszkole,5.4,16.42105263157895,10.323075546007876
2,20,3,Szkoła podstawowa,2.8461538461538463,11.640625,6.983189301887995
2,20,3,Technikum,11.461538461538462,11.461538461538462,11.461538461538462
2,20,4,Przedszkole,9.0,10.9,10.03
2,20,4,Szkoła podstawowa,7.857142857142857,9.516129032258064,8.521241359447004
2,20,5,Przedszkole,13.0,13.0,13.0
2,20,5,Szkoła podstawowa,5.32258064516129,9.829268292682928,7.575924468922109
2,20,6,Gimnazjum,4.214285714285714,12.0,8.107142857142858
2,20,6,Liceum ogólnokształcące,10.75,10.75,10.75
2,20,6,Przedszkole,13.05,13.05,13.05
2,20,6,Szkoła podstawowa,1.9444444444444444,10.234375,6.876570895170933
2,20,6,Technikum,9.38888888888889,9.38888888888889,9.38888888888889
2,21,1,Gimnazjum,1.5714285714285714,2.3157894736842106,1.943609022556391
2,21,1,Przedszkole,1.0,21.666666666666668,11.341269841269842
2,21,1,Szkoła podstawowa,8.695652173913043,12.5,11.06521739130435
2,21,2,Przedszkole,18.5,18.5,18.5
2,21,2,Szkoła podstawowa,10.205128205128204,10.205128205128204,10.205128205128204
2,21,3,Liceum ogólnokształcące,10.466666666666667,10.466666666666667,10.466666666666667
2,21,3,Przedszkole,12.0,12.333333333333334,12.166666666666668
2,21,3,Szkoła podstawowa,3.533333333333333,8.475,6.004166666666666
2,21,3,Technikum,7.5,7.5,7.5
2,21,4,Przedszkole,11.1,11.1,11.1
2,21,4,Szkoła podstawowa,8.083333333333334,12.114285714285714,10.098809523809525
2,21,5,Gimnazjum,2.875,2.875,2.875
2,21,5,Przedszkole,8.333333333333334,8.333333333333334,8.333333333333334
2,21,5,Szkoła podstawowa,5.7,73.0,29.93921568627451
2,21,6,Przedszkole,9.0,9.454545454545455,9.227272727272727
2,21,6,Szkoła podstawowa,5.466666666666667,10.266666666666667,7.522222222222222
2,21,7,Przedszkole,13.666666666666666,49.0,31.333333333333332
2,21,7,Szkoła podstawowa,10.419354838709678,10.419354838709678,10.419354838709678
2,21,8,Szkoła podstawowa,9.592592592592593,11.285714285714286,10.43915343915344
2,22,1,Liceum ogólnokształcące,9.6875,9.6875,9.6875
2,22,1,Przedszkole,4.166666666666667,10.0,7.433080808080809
2,22,1,Szkoła podstawowa,3.2,9.512820512820513,7.1332642070573105
2,22,1,Technikum,10.0,10.0,10.0
